lead_id,rank,lead_label,lead_class,verified_context_count,same_line_context_count,adjacent_context_count,artifact_count,artifact_ps,periods,proveniences,diagnostic_queries,anchor_queries,control_queries,best_example_artifact_p,best_example_source_url,best_example_line,best_example_previous_line,best_example_following_line,rationale,predicted_failure_mode
lead_01_1b3655468abb5cb2,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,4,3,1,1,P525331,Ur III (ca. 2100-2000 BC),,eme-bal me-luh-ha|eme-bal me-luh-ha{ki}|szu-i3-li2-su,szu-i3-li2-su eme-bal,eme-bal,P525331,https://cdli.earth/P525331,eme-bal me-luh-ha{ki},1. szu-i3-li2-su,,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export.",Probably a singleton cylinder-seal title; the external strict target already produced no Indus pattern candidate.
lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,20,8,12,3,P453801|P516138|P516366,Ur III (ca. 2100-2000 BC),Irisagrig (mod. uncertain),i3-ba lu2 me-luh-ha|lu2 me-luh-ha{ki}-me|a-li-a-hi|a-ru-a lugal|sipa a-dara4,a-li-a-hi dam-a-ni,i3-ba|a-ru-a|sipa,P453801,https://cdli.earth/P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,30,22,8,10,P135727|P212842|P217502|P227509|P232277|P326408|P382354|P431886|P461937|P469516,Lagash II (ca. 2200-2100 BC)|Old Akkadian (ca. 2340-2200 BC)|Old Babylonian (ca. 1900-1600 BC)|Ur III (ca. 2100-2000 BC),Adab (mod. Bismaya)|Girsu (mod. Tello)|Nippur (mod. Nuffar),ma2 me-luh-ha|ma2 me-luh-ha-sze3|lu2-tukul ma2 me-luh-ha|gurusz ma2 me-luh-ha|nu-banda3 ma2 me-luh-ha,lu2-tukul|gurusz|nu-banda3,ma2|ma2-gan,P212842,https://cdli.earth/P212842,lu2-tukul ma2 me-luh-ha-ka,2. da-di3,4. 1(asz@c) i3 sila3 i-nu-sa-du2,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,20,20,0,6,P232300|P232301|P346086|P431881|P431882|P469514,Lagash II (ca. 2200-2100 BC)|Old Babylonian (ca. 1900-1600 BC),Girsu (mod. Tello)|Ur (mod. Tell Muqayyar),gug gi-rin-e me-luh-ha-ta|gug gi-rin me-luh-ha-da,gug gi-rin|gug gi-rin-e,gug|gi-rin,P232300,https://cdli.earth/P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
lead_05_d7348c2283dd6794,5,Prestige-material chain,commodity_material_chain,35,25,10,12,P100892|P115571|P136689|P232275|P232300|P232301|P346086|P431881|P431882|P431884|P469514|P469516,Lagash II (ca. 2200-2100 BC)|Old Babylonian (ca. 1900-1600 BC)|Ur III (ca. 2100-2000 BC),Girsu (mod. Tello)|Nippur (mod. Nuffar)|Ur (mod. Tell Muqayyar),uruda nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da|uruda nagga|za-gin3-na|ku3 NE gug gi-rin,nagga|za-gin3-na|ku3|NE,uruda|gug,P232301,https://cdli.earth/P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.,"Probably a generic prestige-material list, and the principal witnesses may not be independent attestations."
lead_06_f2cbc4af74d22cb5,6,Meluhha copper,commodity_material_context,11,10,1,3,P136689|P232301|P431882,Lagash II (ca. 2200-2100 BC)|Ur III (ca. 2100-2000 BC),Girsu (mod. Tello)|Ur (mod. Tell Muqayyar),uruda me-luh-ha|ma-na uruda me-luh-ha,uruda|nagga uruda,uruda|nagga,P136689,https://cdli.earth/P136689,6(disz) ma-na uruda me-luh-ha,1. 2/3(disz){sza} 5(disz) gin2 nagga,3. 6(disz) gin2 uruda nig2 til-la#,"P136689 has `6(disz) ma-na uruda me-luh-ha` near `nagga`, giving a clean material-origin lead.","Commodity-origin label, not onomastic; useful as a material control more than as a phonetic bridge."
lead_07_69bf537d18f25fc6,7,i3-dub Meluhha formula,administrative_formula,33,31,2,10,P100892|P102031|P108484|P110574|P116633|P116735|P116995|P123010|P132876|P218242,Ur III (ca. 2100-2000 BC),Girsu (mod. Tello),i3-dub me-luh-ha|i3-dub me-luh-ha-ta,i3-dub,i3-dub ma2-gan|i3-dub,P100892,https://cdli.earth/P100892,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta,`i3-dub` recurs across multiple Meluhha-bearing administrative entries in the current line export.,"Likely a broad administrative/storage/accounting formula, not a Meluhha-specific name or title."
lead_08_3931a7acc10f91ee,8,e2-duru5 Meluhha estate,estate_settlement_context,22,22,0,6,P108484|P115266|P218242|P235705|P374962|P378169,Ur III (ca. 2100-2000 BC),Girsu (mod. Tello),e2-duru5 me-luh-ha|e2-duru5 me-luh-ha-ta|e2-duru5 me-luh-ha{ki},e2-duru5,e2-duru5,P115266,https://cdli.earth/P115266,gu2-ab-ba{ki}-ka e2-duru5 me-luh-ha-ta,2. sze-ba gab2-us2 udu gukkal,4. ki ur-{gesz}gigir ka-guru7-ta,`e2-duru5` appears with Meluhha locative or ablative forms and may encode an estate/settlement context.,Settlement/estate language can be locally administrative rather than externally bilingual.
lead_09_65e7b4627131e4fb,9,sons of Meluhha,patronymic_origin_formula,43,32,11,10,P100892|P102519|P108448|P112283|P123177|P124739|P135727|P136196|P212982|P378169,Old Akkadian (ca. 2340-2200 BC)|Ur III (ca. 2100-2000 BC),Girsu (mod. Tello),dumu me-luh-ha|ur-{d}lamma dumu me-luh-ha|kiszib3 ur-{d}lamma dumu me-luh-ha|ur-{d}ig-alim dumu me-luh-ha,ur-{d}lamma|ur-{d}ig-alim|kiszib3 ur-{d}lamma,dumu|ur-{d}lamma|kiszib3,P102519,https://cdli.earth/P102519,ki ur-{d}lamma dumu me-luh-ha-ta,2. 3(u) gur,4. 3(asz) 3(barig) ziz2 gur,The current rows include `dumu me-luh-ha` and named seal-owner or patronymic-style phrases.,`Ur-Lamma` and `dumu` are common; this may be ordinary patronymic/origin formula rather than a Meluhhan personal name.
lead_10_cd71236e5223ba72,10,ugula Meluhha title,title_singleton,6,3,3,3,P112283|P115261|P391626,Old Akkadian (ca. 2340-2200 BC)|Ur III (ca. 2100-2000 BC),Girsu (mod. Tello),ugula me-luh-ha|ugula# me-luh-ha,_ARAD2_ {d}nansze-me,ugula,P115261,https://cdli.earth/P115261,ugula# me-luh-ha,3. _ARAD2_ {d}nansze-me,,A damaged/singleton title row has `ugula# me-luh-ha` with an adjacent personal/theophoric phrase.,Damaged and singleton; likely an office/rank label if real.
lead_11_a8cff4aa0ef70f8b,11,Meluhha furniture/object inventory,object_inventory_context,5,5,0,1,P107404,Ur III (ca. 2100-2000 BC),Umma (mod. Tell Jokha),{gesz}guzza {gesz}ab-ba me-luh-ha|{gesz}guzza me-luh-ha,{gesz}guzza|{gesz}ab-ba,{gesz}guzza|{gesz}ab-ba,P107404,https://cdli.earth/P107404,1(disz) {gesz}guzza {gesz}ab-ba me-luh-ha?,3. 1(disz) {gesz}guzza gesz,5. 4(disz) {gesz}guzza {gesz}sza3-kal,"A furniture/object sequence may preserve uncertain `me-luh-ha?`, useful as an object-label control if source-backed.",Uncertain reading and object inventory context; should not be elevated to a phonetic anchor.
lead_12_f20f7c5dbb4c99e6,12,Meluhha orchard/garden,land_administration_context,4,4,0,1,P130369,Ur III (ca. 2100-2000 BC),Girsu (mod. Tello),{gesz}kiri6 me-luh-ha|{gesz}kiri6 me-luh-ha {d}nin-mar{ki},{gesz}kiri6,{gesz}kiri6,P130369,https://cdli.earth/P130369,{gesz}kiri6 me-luh-ha {d}nin-mar{ki}-ka,14. {gesz}kiri6 gesz-hur,16. {gesz}kiri6 {d}nin-mar{ki},One row places Meluhha in an orchard/garden administrative setting.,Probably local institutional/land administration rather than a bilingual bridge.
lead_13_3188b3eaeefc6965,13,Meluhha route-control lane,route_toponym_control,18,6,12,5,P227509|P232277|P431886|P461937|P469516,Lagash II (ca. 2200-2100 BC)|Old Akkadian (ca. 2340-2200 BC)|Old Babylonian (ca. 1900-1600 BC),Girsu (mod. Tello)|Nippur (mod. Nuffar),me-luh-ha{ki} ma2-gan{ki}|kur me-luh-ha{ki} ma2-gan{ki} dilmun{ki}|ma2-gan me-luh-ha kur-bi-ta,ma2-gan{ki}|dilmun{ki}|gu-bi,ma2-gan{ki}|dilmun{ki},P469516,https://cdli.earth/P469516,kur me-luh-ha{ki} ma2-gan{ki} dilmun{ki}-bi,123. {gesz}erin sig7-sig7-ga-bi u6 ga-am3-du11,125. {d}en-ki-me-en igi he2-em-da-a-du8,Meluhha appears in the wider Magan/Dilmun route formula; this is a good control lane for overfitting Meluhha alone.,"Mostly literary/royal route formula, not an onomastic or object-level bridge."
lead_14_5bb7547e7f5bf63e,14,Meluhha speckled dog/object,animal_object_modifier,8,8,0,2,P226318|P432309,Old Babylonian (ca. 1900-1600 BC)|Ur III (ca. 2100-2000 BC),Ur (mod. Tell Muqayyar),ur gun3-a me-luh-ha|ur gun3-a me-luh-ha{ki},ur gun3-a,ur gun3-a,P226318,https://cdli.earth/P226318,ur# gun3#-a me-luh-ha{ki},8. lugal an-ub-da# limmu2-ba-ke4,10. mar#-ha#!-szi{ki!}-[ta],`ur gun3-a me-luh-ha{ki}` is a potential animal/object modifier context from the expanded inventory.,Object or animal tribute label; useful as modifier-control only.
