artifact_p,artifact_id,designation,museum_no,accession_no,provenience,period,dates_referenced,collections,genres,materials,artifact_type,languages,publications_key,publications_type,publications_exact_ref,external_resources,external_resources_key,query_terms,has_meluhha_in_atf,has_lu_sunzida_in_atf,meluhha_line_count,lu_sunzida_line_count,source_url
P100284,100284,"AfO 24, pl. 15 S 213",AIR —,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.01.24,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P100284
P100892,100892,Amherst 054,Anonymous 100892,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.48.08.00, Šulgi.48.09.00 (us2-us2 year)",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P100892
P101445,101445,"AnOr 07, 150",MM 0093,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.47.06.20 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P101445
P102031,102031,"ASJ 03, 152 107",BM 015254,"1896-04-08, 0449",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Amar-Suen.06.07.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P102031
P102519,102519,"ASJ 13, 230 74",BM 026950,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.43.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P102519
P107404,107404,"Buffalo SNS.11-2, 125 02",BSNS C05173,,Umma (mod. Tell Jokha),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P107404
P108448,108448,"CT 03, pl. 17, BM 014594",BM 014594,"1896-04-06, 0292",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.39.00.00, Amar-Suen.01.00.00",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha,true,false,2,0,https://cdli.earth/P108448
P108484,108484,"CT 05, pl. 36-37, BM 017751",BM 017751,"1894-10-15, 0011",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.48.00.00 (us2-us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha|me-luh-ha{ki},true,false,1,0,https://cdli.earth/P108484
P110238,110238,HLC 368 (pl. 139),OIM A32023,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P110238
P110574,110574,"ITT 2, 00705",Ist L 00705,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šū-Suen.08.12.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P110574
P110774,110774,"ITT 2, 00904",Ist L 00904,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P110774
P112283,112283,"JESHO 20, 145 12",Ist L 01426,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),00.00.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P112283
P115261,115261,"MVN 07, 411",Ist L 08015,,Girsu (mod. Tello),Old Akkadian (ca. 2340-2200 BC),,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P115261
P115266,115266,"MVN 07, 420",Ist L 08024,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.34.09.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P115266
P115571,115571,"MVN 08, 181",IM 044219,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P115571
P116633,116633,"MVN 12, 371",BM 014664,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Amar-Suen.03.00.00,[object Object],[object Object],[object Object],tablet & envelope,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha|me-luh-ha-ta,true,false,2,0,https://cdli.earth/P116633
P116735,116735,"MVN 12, 473",BM 015858,"1896-06-12, 0078",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šū-Suen.05.00.00, Šū-Suen.06.05.00 (us2 year)",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P116735
P116995,116995,"MVN 13, 223",FLP 0890,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šū-Suen.09.07.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P116995
P123010,123010,OTR 075,CULC 178,01.178,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Amar-Suen.03.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P123010
P123177,123177,OTR 242,CULC 200,02.15,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.40.00.00 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,2,0,https://cdli.earth/P123177
P123295,123295,"OIP 115, 327",OIM A02966,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.47.04.16 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P123295
P123439,123439,"OIP 115, 194",OIM A04309,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.12.16,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P123439
P123440,123440,"OIP 115, 187",OIM A04321,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.06.27,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P123440
P123507,123507,"OIP 115, 328",OIM A04732,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.47.04.17 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P123507
P123621,123621,"OIP 115, 196",OIM A05274,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.12.23,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P123621
P124739,124739,"Orient 16, 088 131",WML 51.63.183,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.40.00.00, Šulgi.41.06.00, Šulgi.41.07.00, Šulgi.41.08.00, Šulgi.43.00.00 (us2 year)",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P124739
P125864,125864,"PDT 1, 0448",Ist PD —,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.47.12.09 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P125864
P130369,130369,STA 19,PUL Ex 0191,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.48.01.00 (us2-us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P130369
P132876,132876,"TCTI 2, 03666",Ist L 03666,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šū-Suen.08.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P132876
P135727,135727,TUT 154,VAT 02333,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Amar-Suen.02.03.00 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P135727
P135969,135969,"UCP 09-02-1, 065",HMA 9-02648,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Ibbi-Suen.01.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha|me-luh-ha-ta|me-luh-ha{ki},true,false,2,0,https://cdli.earth/P135969
P136196,136196,UDT 064,NBC 00064,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.40.00.00 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P136196
P136689,136689,"UET 3, 0368",UM 47-29-080,,Ur (mod. Tell Muqayyar),Ur III (ca. 2100-2000 BC),Ibbi-Suen.04.02.00 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object]; [object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P136689
