date,packet_id,reviewer,blind_id,stage1_visual_token_count,stage1_visual_order_note,stage1_token_boxes_json,stage1_adjacent_pair_notes,stage1_uncertainty_notes,stage2_after_unblind_catalog_alignment,stage2_target_relation_present_yes_no_uncertain,stage2_confidence,stage2_notes
2026-05-29,effective_unicity_m70_blind_token_box,B,B001,,"left-to-right visual scan only; no answer key",[],possible compact run but image is soft,face crop too soft for a strict call,NOT_UNBLINDED,uncertain,0.46,possible target-like relation but not strict enough for recovery
2026-05-29,effective_unicity_m70_blind_token_box,B,B002,,"left-to-right visual scan only; no answer key",[],adjacent run is more coherent than B001,impression crop still soft at sign boundaries,NOT_UNBLINDED,yes,0.64,relation appears present with moderate confidence
2026-05-29,effective_unicity_m70_blind_token_box,B,B003,,"left-to-right visual scan only; no answer key",[],clearer continuous signband,minor blur only,NOT_UNBLINDED,yes,0.72,positive-looking relation present
2026-05-29,effective_unicity_m70_blind_token_box,B,B004,,"left-to-right visual scan only; no answer key",[],possible relation but central tokens merge,crop quality prevents strict separation,NOT_UNBLINDED,uncertain,0.42,ambiguous positive-calibrator style hit
2026-05-29,effective_unicity_m70_blind_token_box,B,B005,,"left-to-right visual scan only; no answer key",[],possible continuation but segmentation is unstable,token boundaries not reliable enough,NOT_UNBLINDED,uncertain,0.40,possible but too weak to count as recovered
2026-05-29,effective_unicity_m70_blind_token_box,B,B006,,"left-to-right visual scan only; no answer key",[],target-like adjacent relation appears visually plausible,local damage and sign shape ambiguity,NOT_UNBLINDED,yes,0.58,hard target-like hit on a scoring negative
2026-05-29,effective_unicity_m70_blind_token_box,B,B007,,"left-to-right visual scan only; no answer key",[],target-like relation appears strong in the impression crop,signband is clearer than many other controls,NOT_UNBLINDED,yes,0.75,hard target-like hit on a scoring negative
2026-05-29,effective_unicity_m70_blind_token_box,B,B008,,"left-to-right visual scan only; no answer key",[],no stable target relation visible,control run separates differently,NOT_UNBLINDED,no,0.68,no target-like relation
2026-05-29,effective_unicity_m70_blind_token_box,B,B009,,"left-to-right visual scan only; no answer key",[],short crop does not support the target relation,shorter row makes false relation unlikely here,NOT_UNBLINDED,no,0.66,no target-like relation
2026-05-29,effective_unicity_m70_blind_token_box,B,B010,,"left-to-right visual scan only; no answer key",[],no target relation in the upper face crop,visible signs separate into a different local sequence,NOT_UNBLINDED,no,0.86,no target-like relation
2026-05-29,effective_unicity_m70_blind_token_box,B,B011,,"left-to-right visual scan only; no answer key",[],no target relation in the lower impression crop,visible signs separate into a different local sequence,NOT_UNBLINDED,no,0.84,no target-like relation
2026-05-29,effective_unicity_m70_blind_token_box,B,B012,,"left-to-right visual scan only; no answer key",[],suffix-control crop creates a plausible target-like chain,bottom crop makes catalog-slot separation hazardous,NOT_UNBLINDED,yes,0.70,hard target-like hit on a scoring negative
2026-05-29,effective_unicity_m70_blind_token_box,B,B013,,"left-to-right visual scan only; no answer key",[],suffix-control crop creates a plausible target-like chain,crop quality leaves slot identity unstable,NOT_UNBLINDED,yes,0.66,hard target-like hit on a scoring negative
2026-05-29,effective_unicity_m70_blind_token_box,B,B014,,"left-to-right visual scan only; no answer key",[],context crop not comparable to signband targets,page-level context makes the relation inappropriate,NOT_UNBLINDED,no,0.90,quarantine item rejected
2026-05-29,effective_unicity_m70_blind_token_box,B,B015,,"left-to-right visual scan only; no answer key",[],target-like relation appears despite instability,stress crop likely overfits visual similarity,NOT_UNBLINDED,yes,0.82,hard target-like hit on a scoring negative
