date,packet_id,reviewer,blind_id,stage1_visual_token_count,stage1_visual_order_note,stage1_token_boxes_json,stage1_adjacent_pair_notes,stage1_uncertainty_notes,stage2_after_unblind_catalog_alignment,stage2_target_relation_present_yes_no_uncertain,stage2_confidence,stage2_notes
2026-05-29,effective_unicity_m70_blind_token_box,A,B001,6,boxes numbered by increasing x-coordinate for visual reference only,[],"central adjacent run is visible but soft; edges partly cropped","blur and top/bottom cropping make exact separation approximate",NOT_UNBLINDED,yes,0.65,usable compact window in the middle despite soft image
2026-05-29,effective_unicity_m70_blind_token_box,A,B002,5,boxes numbered by increasing x-coordinate for visual reference only,[],"five-cluster run is broadly adjacent, with some separation uncertainty between middle clusters","soft focus; left and right edges clipped",NOT_UNBLINDED,yes,0.70,"clean enough horizontal window for source boxing, though not crisp"
2026-05-29,effective_unicity_m70_blind_token_box,A,B003,7,boxes numbered by increasing x-coordinate for visual reference only,[],strong continuous run across the framed band,minor blur and right-edge clipping only,NOT_UNBLINDED,yes,0.88,one of the cleaner continuous windows
2026-05-29,effective_unicity_m70_blind_token_box,A,B004,7,boxes numbered by increasing x-coordinate for visual reference only,[],"right half may contain a local run, but the middle is merged and noisy","soft image; top crop and central merging make segmentation unstable",NOT_UNBLINDED,uncertain,0.48,"possible window, but not strict enough to call clean"
2026-05-29,effective_unicity_m70_blind_token_box,A,B005,7,boxes numbered by increasing x-coordinate for visual reference only,[],clear adjacent run across upper band; right edge has a tiny partial continuation,top edge rough but tokens are high contrast,NOT_UNBLINDED,yes,0.86,clean continuous band suitable for boxing
2026-05-29,effective_unicity_m70_blind_token_box,A,B006,6,boxes numbered by increasing x-coordinate for visual reference only,[],four-plus clusters form a local horizontal run despite top cropping,"soft focus; top edge clipped; left/right clusters partial",NOT_UNBLINDED,yes,0.70,usable local window in the center-right
2026-05-29,effective_unicity_m70_blind_token_box,A,B007,6,boxes numbered by increasing x-coordinate for visual reference only,[],central run is visually coherent and mostly separated,edge clusters are partial; mild blur,NOT_UNBLINDED,yes,0.82,clean enough for a compact source-boxing window
2026-05-29,effective_unicity_m70_blind_token_box,A,B008,8,boxes numbered by x-coordinate with upper stacked material before lower stacked material,[],stacked layout prevents a clearly continuous single adjacent run,crop has multiple rows and a right partial cluster; relation window is unstable,NOT_UNBLINDED,uncertain,0.43,"visible clusters exist, but not a clean continuous signband"
2026-05-29,effective_unicity_m70_blind_token_box,A,B009,5,boxes numbered by x-coordinate with upper/lower stacked material separated,[],not enough clean same-band adjacency for a strict window,"heavy crop; stacked clusters; right side clipped",NOT_UNBLINDED,no,0.70,does not clearly provide a compact four-plus-token continuous window
2026-05-29,effective_unicity_m70_blind_token_box,A,B010,3,boxes numbered by visible cluster position,[],only about three separable clusters are visible,narrow crop and edge clipping remove surrounding context,NOT_UNBLINDED,no,0.86,too little continuous adjacent material for the target window
2026-05-29,effective_unicity_m70_blind_token_box,A,B011,4,boxes numbered by increasing x-coordinate for visual reference only,[],fourth cluster is partial and not cleanly integrated with the lower row,"tight crop; right cluster clipped; segmentation uncertain",NOT_UNBLINDED,uncertain,0.45,borderline four-cluster view but not clean enough for strict yes
2026-05-29,effective_unicity_m70_blind_token_box,A,B012,10,boxes numbered by x-coordinate with stacked central mini-rows separated,[],multiple clean adjacent options; central and right regions are high contrast,"top and far-right edges rough, but main band is clear",NOT_UNBLINDED,yes,0.90,strong source-boxing candidate with clean local windows
2026-05-29,effective_unicity_m70_blind_token_box,A,B013,7,boxes numbered by increasing x-coordinate for visual reference only,[],"continuous run is present, though several separations are soft","soft focus and right-edge clipping; left frame visible",NOT_UNBLINDED,yes,0.72,usable but not pristine continuous band
2026-05-29,effective_unicity_m70_blind_token_box,A,B014,8,"full page image; selected central clean horizontal band only, boxes numbered by increasing x-coordinate",[],"selected central band has a clean run, but the image contains many other objects and labels","page context and printed labels leak object/page identity; multiple source objects visible",NOT_UNBLINDED,yes,0.62,"clean band exists, but page-context leakage lowers confidence for blind packet use"
2026-05-29,effective_unicity_m70_blind_token_box,A,B015,8,boxes numbered by increasing x-coordinate for visual reference only,[],strong horizontal run with high-contrast separated clusters,"mild blur; top border/crop visible but main band is clean",NOT_UNBLINDED,yes,0.92,clean continuous source-boxing candidate
