reviewer,blind_id,stage1_visual_token_count,stage1_visual_order_note,stage1_token_boxes_json,stage1_visible_002_y_candidate_notes,stage1_uncertainty_notes
curie_review,BG001,uncertain_10,"left-to-right visual listing; ambiguity whether lower pendant belongs to adjacent forked sign",[],"forked/Y-like forms visible near left and right; lower pendant/gap near right fork is ambiguous","blurred relief and overlap with animal head at right; one or two signs may be composite"
curie_review,BG002,5,"left-to-right visual listing",[],"rightmost forked/Y-like sign visible; adjacent animal-like raised form makes boundary uncertain","low contrast and relief glare; middle signs partly merge with animal body"
curie_review,BG003,uncertain_10,"left-to-right visual listing; several middle signs touch or overlap",[],"multiple branch/fork-like signs visible in middle/right; target relation not assessed","top row is countable in outline but blurred; right-edge token boundary is weak"
curie_review,BG004,uncertain_8,"left-to-right visual listing; both ends appear cropped",[],"forked/Y-like form visible near right; relation not assessed","cropped left and right edges; crack through center and blur affect segmentation"
curie_review,BG005,uncertain_9,"left-to-right visual listing; diagonal stroke between center signs may be separate or attached",[],"forked/Y-like sign near left-center and branch-like signs near center; target relation not assessed","image is pixelated; left break and central diagonal create token-boundary uncertainty"
curie_review,BG006,uncertain_7,"unclear; small possible signs run horizontally across animal back",[],not assessed,"tiny low-contrast marks are not individually separable; large right figure may be pictorial rather than script"
curie_review,BG007,uncertain_8,"left-to-right visual listing of cropped top row; upper portions cut off",[],"cropped fork/branch-like top signs and a large antler-like pictorial form below; target relation not assessed","top inscription is clipped by image edge; several signs only partially visible"
curie_review,BG008,uncertain_6,"left-to-right visual listing; broken left edge and eroded right edge",[],"central X/branch-like form visible; adjacent gaps and boundaries are eroded","fragmentary piece with heavy blur; leftmost and rightmost signs may be incomplete"
curie_review,BG009,uncertain_6,"unclear; possible row across upper half but not reliably ordered",[],not assessed,"surface is very eroded and low contrast; token boundaries are not feasible to box reliably"
curie_review,BG010,8,"left-to-right visual listing; central bar groups are treated as grouped tokens",[],"forked/Y-like forms visible at second and seventh visual tokens; target relation not assessed","overall count is clear, but middle-right signs touch slightly"
curie_review,BG011,4,"unclear; visible layout is two-level with right-edge partial",[],"left fork/Y-like sign present; target relation not assessed","small crop; right sign is cut off and bar groups may be stacked components"
curie_review,BG012,4,"unclear; two-level grouping with left fork and right partial sign",[],"left fork/Y-like sign visible; target relation not assessed","cropped left/right edges and stacked bars make reading order uncertain"
curie_review,BG013,uncertain_2,"unclear; extreme close crop of dark vertical forms",[],not assessed,"no reliable full token boundary visible; likely partial enlarged strokes only"
curie_review,BG014,0,"unclear; no clear script row visible",[],not assessed,"object relief dominates and no distinct incised or raised token boxes can be isolated"
