reviewer,blind_id,stage1_visual_token_count,stage1_visual_order_note,stage1_token_boxes_json,stage1_visible_002_y_candidate_notes,stage1_uncertainty_notes
hypatia_review,BG001,uncertain_10,"unclear; main sign row runs horizontally with one possible lower isolated mark near right",[],"possible branch/Y-like forms at left-second and near right/lower right; target relation not fully assessed","blur and relief shadows merge adjacent signs; lower right mark may be sign or animal/head detail"
hypatia_review,BG002,6,"unclear; visually left-to-right across upper field, with upper/lower stroke grouping ambiguity",[],"clear upright fork/Y-like token at far right with open spacing from central stroke groups","worn surface and animal overlap make the central upper/lower stroke groups hard to separate"
hypatia_review,BG003,uncertain_9,"unclear; single crowded top row, local ambiguity in stacked stroke cluster",[],"branch/X-like forms visible in the row, but target relation not assessed","top row is dense; central compound signs and left stacked strokes may split differently"
hypatia_review,BG004,uncertain_9,"unclear; top row is cropped at both ends",[],"possible upright fork/Y-like form in right third; relation not assessed because edge/crop damage affects spacing","left and right signs are partial; crack and animal relief obscure lower edges"
hypatia_review,BG005,uncertain_11,"unclear; main row horizontal, but several stroke clusters may be compounds",[],"clear central branch/Y-like token and another forked form later in the row; target relation only visually tentative","image is blurred and blocky; upper/lower short-stroke clusters may be separate tokens or parts of adjacent signs"
hypatia_review,BG006,uncertain_12,"unclear; no reliable visual order recoverable from blurred row",[],not assessed,"individual tokens are not feasibly boxable; apparent short strokes may be inscription, texture, or animal detailing"
hypatia_review,BG007,uncertain_7,"unclear; top row is truncated by image crop",[],not assessed,"upper portions are cut off; right-side animal horn overlaps the sign area and should not be counted as a token"
hypatia_review,BG008,uncertain_7,"unclear; damaged upper-central row, possible left-to-right image-coordinate sequence only",[],"possible central branch/X-like sign, but target relation not assessed","left side is broken and surface is noisy; several right-side verticals may be separate signs or one compound"
hypatia_review,BG009,uncertain_6,"unclear; severely eroded field with only broad top/mid marks visible",[],not assessed,"erosion is severe; boxes mark broad possible sign areas rather than confident token boundaries"
hypatia_review,BG010,10,"unclear; clear horizontal row, local ambiguity around central stroke grid and dash",[],not assessed,"mostly legible, but central grid/dash and adjacent vertical groups could be tokenized at different granularity"
hypatia_review,BG011,4,"unclear; signs appear in two stacked clusters with a cropped right sign",[],"Y-shaped/branch-like token visible at left with stroke groups to its right","rightmost sign is cropped; two short-stroke groups may combine differently depending on intended line order"
hypatia_review,BG012,5,"unclear; left-to-right image-coordinate sequence has upper/lower stacked stroke groups before right diamond",[],"Y-shaped/branch-like token visible at left, separated from adjacent stroke clusters","small crop and blur; stroke clusters may be counted as grouped signs rather than individual strokes"
hypatia_review,BG013,uncertain_3,"unclear; no coherent sign row recoverable",[],not assessed,"only partial thick vertical/curved fragments are visible; token boundaries are not feasible"
hypatia_review,BG014,0,"unclear; no legible sign row visible",[],not assessed,"side-view object is too blurred/dark and shows no countable inscription tokens"
