reviewer,blind_id,stage1_visual_token_count,stage1_visual_order_note,stage1_token_boxes_json,stage1_visible_002_y_candidate_notes,stage1_uncertainty_notes
noether_review,BG001,uncertain_10,"left-to-right unclear; top row with right edge crowding and possible composite/stacked forms",[],"branch/Y-like signs visible near left and right portions; target relation not securely assessed","blurred relief and animal/head overlap make several token boundaries uncertain"
noether_review,BG002,uncertain_5,"left-to-right unclear; isolated top register with ambiguous central cluster",[],"possible branching/forked element at far right of top register; relation not securely assessed","low contrast and strong relief shadows blur the central-right signs"
noether_review,BG003,uncertain_14,"left-to-right unclear; some signs appear stacked or fused at left",[],"multiple fork/branch-like forms visible in the top row; target relation not securely assessed","top row is crowded and blurred with possible composite signs"
noether_review,BG004,uncertain_10,"left-to-right unclear; both row ends appear cropped",[],"branch/Y-like element visible in left-central row and another possible fork near right; relation not securely assessed","crop cuts signs and heavy blur merges neighboring tokens"
noether_review,BG005,uncertain_9,"left-to-right unclear; possible clipped token at far left and terminal crowding at right",[],"central lozenge and adjacent branch/X-like forms visible; target relation not securely assessed","top of inscription is cut/blurred and far-left edge is fragmentary"
noether_review,BG006,0,"unclear; no discrete inscription row visible",[],not assessed,"image shows animal/body detail rather than separable script tokens"
noether_review,BG007,uncertain_6,"left-to-right unclear; row is cropped and interrupted by large blank gap",[],"large branch/Y-like form at upper right visually separated from the left-row signs; relation not securely assessed","upper row is truncated and the right candidate is partly isolated by crop/scene composition"
noether_review,BG008,uncertain_5,"left-to-right unclear; broken fragment with rough left edge",[],"branch/X-like sign visible near center-left and possible forked form at left; target relation not securely assessed","fragment is broken and several forms merge with damage and edge texture"
noether_review,BG009,uncertain_6,"unclear; very eroded row with possible left-to-right alignment",[],not assessed,"surface damage dominates and sign/non-sign boundaries are highly uncertain"
noether_review,BG010,uncertain_8,"left-to-right unclear; stacked stroke groups may be separate or composite",[],"branch/X-like sign visible between stacked strokes and right-side cluster; target relation not securely assessed","clearer than most but stacked short strokes create token-count ambiguity"
noether_review,BG011,4,"unclear; stacked arrangement with right edge cropped",[],"left branch/Y-like sign visible; relation to partial right lozenge not assessed due cropping","small crop and partial right sign limit ordering"
noether_review,BG012,4,"unclear; stacked two-row grouping beside left branch form",[],"left branch/Y-like sign visible with stacked strokes nearby; right lozenge separate; target relation not securely assessed","blur and stacked layout make reading order unclear"
noether_review,BG013,uncertain_2,"unclear; only large partial vertical forms visible",[],not assessed,"close crop shows partial incisions/forms without enough context for tokenization"
noether_review,BG014,uncertain_3,"unclear; object view with possible marks on ends rather than a clear row",[],not assessed,"dark low-contrast object and possible non-script relief make token boundaries infeasible"
