manuscript_id,name,date,place,language,dynasty,details_url,table_url,letter_image_id,transliteration,variant_role,table_block_index,image_url,local_image_path,sha256,bbox_w,bbox_h,aspect,ink_density
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,105229,a,primary,0,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/105229.png,data/brahmi/indoskript_letter_images_v2/105229.png,a920c54ab4912437681cb37f20303fcf27f037278f257180b3da81c60aed105a,41,84,0.488095,0.169811
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,137729,i,primary,2,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/137729.png,data/brahmi/indoskript_letter_images_v2/137729.png,4b65c2da07637c0f3b504cdabf50afe6be09e4aaf1f61e3af7b85336dcac399f,62,62,1.000000,0.153980
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,67887,e,primary,10,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/67887.png,data/brahmi/indoskript_letter_images_v2/67887.png,3664bffaefa29da94b651b0c2df737a44ae9b7f584c810d810c6f735a54adeb5,53,58,0.913793,0.341682
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,163092,ca,primary,23,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/163092.png,data/brahmi/indoskript_letter_images_v2/163092.png,18ab200239a7e7948a0097b7efe60e393ef4ec2ae87da2c59ef6ff3dbc7d6377,48,91,0.527473,0.154724
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,143448,caṃ,variant_1,23,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/143448.png,data/brahmi/indoskript_letter_images_v2/143448.png,d2df402572c5ffb6adde07158eca27045831edb69b78ef2aa8563a2a9dd70d52,70,97,0.721649,0.168054
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,100163,ṭa,primary,28,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/100163.png,data/brahmi/indoskript_letter_images_v2/100163.png,4a1f294104b1a4b97a1b7521d8d3f02c62d74bee2c35328dd79af6a78bc4865f,48,72,0.666667,0.191084
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,77674,ṇa,primary,32,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/77674.png,data/brahmi/indoskript_letter_images_v2/77674.png,0bfbdc62cc00363c408d5ce9bfdb6ee25a0545b2b9368f115021eca3fed5c2d1,60,64,0.937500,0.290696
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,155694,ta,primary,33,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/155694.png,data/brahmi/indoskript_letter_images_v2/155694.png,859a7461aeee8db7ddb0a56236fc5b199e909e09024f8e7c09886428607b3762,45,85,0.529412,0.164673
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,98308,ta,variant_1,33,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/98308.png,data/brahmi/indoskript_letter_images_v2/98308.png,fa0a85bca6da4945177fa0d1ad214975ae17fd38b5aa16ce61dd03a68daedb41,44,91,0.483516,0.120315
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,128789,na,primary,37,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/128789.png,data/brahmi/indoskript_letter_images_v2/128789.png,49c183d194193cf8539c24d6485916ae6b5507e630bf89c40997bac9b73f39c1,57,70,0.814286,0.216754
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,26218,pa,primary,38,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/26218.png,data/brahmi/indoskript_letter_images_v2/26218.png,82feb7bd0423db152ded58929a0e42c319ed0b18d604271453cd21a51127d99f,35,89,0.393258,0.118748
