probe_id,family,path,present,sha256,bbox_w,bbox_h,aspect,ink_density,note
indus_local220_M37_source_S009,local_220_source_actual,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S009.png,true,7f0031d154395a025097ab76ec0d5de6b4b3fb45ca74497501e435ae1e389f0c,255,230,1.108696,0.247054,M-37 source middle component from local +520-220-415+.
indus_local220_H938_source_S010,local_220_source_actual,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S010.png,true,39e271f28e2a7fbe9c6b3064bd071d40850588e1c88e9fe6bc6ffd78f17e48ef,180,210,0.857143,0.061514,H-938 A source middle component from local +520-220-415+.
indus_local220_H940_source_S011,local_220_source_actual,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S011.png,true,cf165abb5c8580439eec3bf4f18c5da0a1b5da554c00bae949dfc14cc600d75c,205,245,0.836735,0.158756,H-940 A source middle component from local +520-220-415+.
indus_local220_H942_source_stress_S012,local_220_stress_actual,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S012.png,true,f81dc0a6379019e297ff860520abc1ef8191bd56a4a03662fcfee1041013a9d3,185,155,1.193548,0.193239,H-942 A source middle component candidate from local +520-220-016+; already blocked as a positive support crop.
parpola_sign60_variant_a_S001,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S001.png,true,3bc46c1a0d9f68e8e58a5e5d722c12f6bf25ff7c291c2e5d850e83da09f104a5,95,95,1.000000,0.059019,"Parpola 1994 Fig. 5.1 sign no. 60 variant a, canonical control."
parpola_sign60_variant_b_S002,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S002.png,true,124689a45089eb312521a134fd39de0116831b4bdfd2754933c8aeb7e5eebd48,105,108,0.972222,0.056952,"Parpola 1994 Fig. 5.1 sign no. 60 variant b, canonical control."
parpola_sign57_control_S003,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S003.png,true,b0c197a1f4254e96dfab5019517a3557aa924322d30588d6e06b94f7d1058c52,85,109,0.779817,0.029439,"Parpola 1994 Fig. 5.1 sign no. 57, nearby fish-family control."
parpola_sign58_control_S004,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S004.png,true,3f2c3de85435bdfefabd86b94c342a41311f63193b5f684bd5add482818301e2,105,112,0.937500,0.061456,"Parpola 1994 Fig. 5.1 sign no. 58, nearby fish-family control."
parpola_sign59_control_S005,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S005.png,true,45ef28c0e2bcb591897f6246d046fca296f9fcc9cdeeadbf30b90dfa59730e6c,100,107,0.934579,0.060644,"Parpola 1994 Fig. 5.1 sign no. 59, nearby fish-family control."
parpola_sign66_control_S006,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S006.png,true,7aa4660544648e79f782a36892d580b687c687bc861a61b3ddf60aae3f80b08a,69,116,0.594828,0.041214,"Parpola 1994 Fig. 5.1 sign no. 66, nearby fish-family control."
parpola_sign70_variant_a_S007,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S007.png,true,49f1916cbe06863b808cb8c5304d27263be45472d5371c495477957b6b3f3a36,115,118,0.974576,0.069081,"Parpola 1994 Fig. 5.1 sign no. 70 variant a, nearby fish-family control."
parpola_sign70_variant_b_S008,parpola_1994_signlist_control,tmp\parpola_sign60_local220_strict_probe\neutral_packet\S008.png,true,dfbc4bfa063b8992410772d43f78f612c6b9924ed1560b9d170d794a44513f9f,88,133,0.661654,0.042211,"Parpola 1994 Fig. 5.1 sign no. 70 variant b, nearby fish-family control."
indus_local110_H2148_source,local_110_source_actual,tmp\h2148_h2100_h2152_110_route\derived\h2148_fig14_item1_left_single_panel_no_label_crop.png,true,9492438a6578d36a236f8d36e7dbb09f2f106d1b4e5b2c38a18bb155b3f63b7d,187,90,2.077778,0.119416,H-2148 one-sign source panel candidate for local 110.
parpola_sign41_canonical_crop,parpola_1994_signlist_control,tmp\parpola_1994_signlist\rendered\fig5_1_p70_sign41_only_crop.png,true,9638a8645a39fe20bf225516f57fd8623afe329987d5868457d4c8d6253b4a2a,535,120,4.458333,0.017317,Parpola 1994 Fig. 5.1 sign no. 41 canonical crop.
