sign_uid,system_id,raw_id,normalized_id,description,feature_json,visual_ref_id,status
lipi_numeric:000,lipi_numeric,000,000,,,,unaccepted
lipi_numeric:001,lipi_numeric,001,001,,,,unaccepted
lipi_numeric:002,lipi_numeric,002,002,,,,unaccepted
lipi_numeric:003,lipi_numeric,003,003,,,,unaccepted
lipi_numeric:004,lipi_numeric,004,004,,,,unaccepted
lipi_numeric:005,lipi_numeric,005,005,,,,unaccepted
lipi_numeric:006,lipi_numeric,006,006,,,,unaccepted
lipi_numeric:007,lipi_numeric,007,007,,,,unaccepted
lipi_numeric:012,lipi_numeric,012,012,,,,unaccepted
lipi_numeric:013,lipi_numeric,013,013,,,,unaccepted
lipi_numeric:014,lipi_numeric,014,014,,,,unaccepted
lipi_numeric:015,lipi_numeric,015,015,,,,unaccepted
lipi_numeric:016,lipi_numeric,016,016,,,,unaccepted
lipi_numeric:017,lipi_numeric,017,017,,,,unaccepted
lipi_numeric:018,lipi_numeric,018,018,,,,unaccepted
lipi_numeric:019,lipi_numeric,019,019,,,,unaccepted
lipi_numeric:020,lipi_numeric,020,020,,,,unaccepted
lipi_numeric:025,lipi_numeric,025,025,,,,unaccepted
lipi_numeric:026,lipi_numeric,026,026,,,,unaccepted
lipi_numeric:027,lipi_numeric,027,027,,,,unaccepted
lipi_numeric:028,lipi_numeric,028,028,,,,unaccepted
lipi_numeric:029,lipi_numeric,029,029,,,,unaccepted
lipi_numeric:031,lipi_numeric,031,031,,,,unaccepted
lipi_numeric:032,lipi_numeric,032,032,,,,unaccepted
lipi_numeric:033,lipi_numeric,033,033,,,,unaccepted
lipi_numeric:034,lipi_numeric,034,034,,,,unaccepted
lipi_numeric:035,lipi_numeric,035,035,,,,unaccepted
lipi_numeric:036,lipi_numeric,036,036,,,,unaccepted
lipi_numeric:037,lipi_numeric,037,037,,,,unaccepted
lipi_numeric:039,lipi_numeric,039,039,,,,unaccepted
lipi_numeric:041,lipi_numeric,041,041,,,,unaccepted
lipi_numeric:042,lipi_numeric,042,042,,,,unaccepted
lipi_numeric:043,lipi_numeric,043,043,,,,unaccepted
lipi_numeric:044,lipi_numeric,044,044,,,,unaccepted
lipi_numeric:045,lipi_numeric,045,045,,,,unaccepted
lipi_numeric:046,lipi_numeric,046,046,,,,unaccepted
lipi_numeric:047,lipi_numeric,047,047,,,,unaccepted
lipi_numeric:048,lipi_numeric,048,048,,,,unaccepted
lipi_numeric:049,lipi_numeric,049,049,,,,unaccepted
