"object_id","parpola_2019_role","parpola_2019_side_scope","parpola_claimed_string","lipi_row_ids","lipi_stored_texts","lipi_direction","mayig_side_id","mayig_graphemes","raw_source_status","raw_source_locator","base_T_or_local_recurrence_status","decision","namespace_note"
"M-2109","text_no_7_full_witness","single ivory/bone rod text","BASE_T_PLUS_107","4042.1","+400-000-220-415+","R/L","not_in_pinned_mayig_index","","standardized_figure_only_raw_rod_not_checked","Parpola 2019 Fig. 1 row 7","author_explicit_full_text7_local_unreconciled","retain_full_text7_object_identity_only","Parpola Figure 1 gives four standardized signs; Lipi gives four slots but only three recognized signs, so no token crosswalk is admitted"
"M-2111","text_no_7_full_witness","single ivory/bone rod text","BASE_T_PLUS_107","4044.1","+400-000-220-415+","R/L","not_in_pinned_mayig_index","","standardized_figure_only_raw_rod_not_checked","Parpola 2019 Fig. 1 row 7","author_explicit_full_text7_local_unreconciled","retain_full_text7_object_identity_only","Same unresolved local row as M-2109; no raw-rod token bridge is available in the checked local source set"
"M-35","seal_parallel_in_conclusion","sole seal text","BASE_T","2563.1","+740-390-590-233-231-002-107+","R/L","M-35A","P324 P086 P276 P058 P056 P122 P007","source_visible_complete_seven_sign_text","CISI 1 PDF page 55 / printed page 19, M-35 A/a","rejected_source_count_and_sequence_conflict","reject_M35_as_BASE_T","Parpola's printed M-35 reference conflicts with CISI, Lipi, and Mayig; local terminal 107 is not Parpola sign 107"
"M-37","not_named_in_the_two_2019_clauses","sole seal text","not_author_assigned","2565.1","+520-220-415+","R/L","M-37A","P217 P050 P092","source_visible_complete_three_sign_text","CISI 1 PDF page 55 / printed page 19, M-37 A/a","exact_source_visual_lipi_mayig_match_to_BASE_T","high_confidence_intended_seal_id_candidate_not_author_confirmed","CISI impression order matches Parpola Figure 1 BASE_T graphically; object-bound positional bridge is 520/P217 to sign 189, 220/P050 to sign 60, and 415/P092 to the unnumbered first sign"
"M-77","sole_seal_text_in_recurrence_clause","sole seal text","BASE_T","2604.1","+832-390-803-002-861+","R/L","M-77A","P366 P086 P364 P122 P385","source_visible_complete_five_sign_text","CISI 1 PDF page 69 / printed page 33, M-77 A/a","rejected_source_count_and_sequence_conflict","reject_M77_as_BASE_T","Parpola's printed M-77 reference conflicts with CISI, Lipi, and Mayig; no M-77 token mapping survives"
"H-938","text7_without_107_tablet_parallel","inscribed side; numeral side named separately","BASE_T","1818.1;1818.2","+520-220-415+;+034-700+","L/R;R/L","not_in_pinned_mayig_index","","source_visible_in_prior_control_packet","Prior H-938 source packet; Parpola 2019 pages 2-3","exact_local_520_220_415_on_text_side","retain_exact_local_string_identity","Source-side/token mapping remains separate from a global Parpola numeric crosswalk"
"H-939","text7_without_107_tablet_parallel","inscribed side; numeral side named separately","BASE_T","1819.1;1819.2","+700-034+;+520-220-415+","L/R;L/R","not_in_pinned_mayig_index","","not_rechecked_in_this_concordance","Parpola 2019 pages 2-3; Lipi rows 1819.1-1819.2","exact_local_520_220_415_on_text_side","retain_exact_local_string_identity","Object/string identity is local plus authorial; no source-side sign-number bridge is inferred"
"H-1284","text7_without_107_tablet_parallel","inscribed side; numeral side named separately","BASE_T","4069.1;4069.2","+520-220-415+;+700-034+","L/R;L/R","not_in_pinned_mayig_index","","not_rechecked_in_this_concordance","Parpola 2019 pages 2-3; Lipi rows 4069.1-4069.2","exact_local_520_220_415_on_text_side","retain_exact_local_string_identity","Object/string identity is local plus authorial; no source-side sign-number bridge is inferred"
"H-2145","text7_without_107_tablet_parallel","obverse text; numeral side named separately","BASE_T","827.1;827.2","+700-034+;+074-220-415+","unknown;unknown","not_in_pinned_mayig_index","","public_route_without_exact_source_transcription_bridge","H97-3283Figure 16.04; Parpola 2019 pages 2-3","one_slot_local_variant_not_exact_BASE_T","retain_authorial_family_membership_not_exact_local_identity","Local first stored token 074 differs from BASE_T candidate 520; direction and side mapping remain unresolved"
"H-940","sign41_reverse_group_and_obverse_recurrence","Parpola reverse sign 41; obverse BASE_T-family text","BASE_T","1820.1;1820.2","+520-220-415+;+110+","R/L;NR","not_in_pinned_mayig_index","","source_visible_but_obverse_reverse_side_bridge_not_closed","CISI Pakistan H-940 prior packet; Parpola 2019 page 3","exact_local_520_220_415_on_companion_side","retain_exact_local_string_identity_only","Do not infer local 110 equals Parpola sign 41 or assign local row numbers to obverse/reverse globally"
