record_id,record_type,left_namespace,left_id,right_namespace,right_id,artifact_id,local_row_id,local_text,mayig_side_id,evidence_class,decision_status,crosswalk_accepted,source_path,source_sha256,observation,blocking_condition
N01,namespace_definition,Parpola_1994_Fig5_1,sign_no_41,,,,,,,source_visual_definition,defined,,evidence/tmp/parpola_1994_signlist/parpola_1994_deciphering_sindhilanguagelibrary.pdf,FD133822F9999C86178A32208465E847C5288B578AD14CA2CD643EFE57F0E0B6,"Printed p. 70 / PDF page 88 shows sign no. 41 variants a-f as an anthropomorphic/kneeling-person-with-raised-object family.",
N02,namespace_definition,Mayig_feature,P041,,,,,,,pinned_feature_metadata,defined,,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"Mayig feature ID P041 describes a person with a U and inserted vertical stroke; its metadata lists V141/W112/M034.",
N03,namespace_definition,Mayig_parpola_grapheme,V041,Mayig_feature,P301,,,,,pinned_reverse_namespace_lookup,defined,,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P301.json,861C82295AD56D28E9BCCBDC8814DBFAFB77D4934E464E41565D918CDE1C1B95,"Within pinned Mayig metadata V041 is attached to P301, a small hatched box; V041 is not Mayig feature P041.",
N04,namespace_definition,Lipi_local,041,,,,,,,exact_token_inventory,defined,,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Two exact-token rows: M-1151 row 3512.1 +241-742-041+; M-2128 row 4047.1 +041-705-002-905+.",
N05,namespace_definition,Lipi_local,110,,,,,,,exact_token_inventory,defined,,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Six exact-token rows: H-2148 481.2; H-2147 673.1; H-2100 817.2; H-2152 865.1; H-940 1820.2; Kanmer 4881.1.",
N06,namespace_definition,Lipi_local,112,,,,,,,exact_token_inventory,defined,,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Two exact-token rows: M-33 row 2561.1 +740-032-923-382-233-002-112+; M-239 row 2762.1 +740-760-921-235-002-112+.",
N07,namespace_definition,Lipi_local,034,,,,,,,exact_token_inventory,defined,,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"182 exact-token rows: Harappa 166; Mohenjo-daro 7; Kalibangan 5; Amri 1; Chanhu-daro 1; Derawar Ther 1; Nausharo 1.",
N08,namespace_definition,Wells,W112,Mayig_feature,P041,,,,,mayig_cross_reference_only,defined_not_independently_verified,,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"W112 is present as a Wells cross-reference on Mayig P041; no independent Wells sign-list source is used here.",independent_Wells_source_not_in_current_packet
N09,namespace_definition,Mahadevan,M034,Mayig_feature,P041,,,,,mayig_cross_reference_only,defined_not_independently_verified,,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"M034 is present as a Mahadevan cross-reference on Mayig P041; no independent Mahadevan sign-list source is used here.",independent_Mahadevan_source_not_in_current_packet
R01,namespace_relation,Parpola_2019_article,sign_no_41,Parpola_1994_Fig5_1,sign_no_41,,,,,explicit_article_convention,accepted_bibliographic_source_reference_not_crosswalk,false,evidence/tmp/pdfs/parpola_2019_bone_rods.pdf,E22312306A7CE0E2CD54BA77251D65B01254F91E35F5F0A2CFE8F0FC545AFFCC,"Parpola 2019 explicitly says its sign numbers use Parpola 1994 pp. 70-78 Fig. 5.1; this is a bibliographic convention link, not a corpus crosswalk edge.",
R02,namespace_relation,Mayig_feature,P041,Mayig_parpola_grapheme,V141,,,,,pinned_feature_metadata,accepted_metadata_link_only,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"Pinned Mayig asserts P041 -> V141; this table records the assertion but does not independently validate a Parpola crosswalk.",independent_Parpola_grapheme_concordance_not_in_current_packet
R03,namespace_relation,Mayig_feature,P041,Wells,W112,,,,,pinned_feature_metadata,accepted_metadata_link_only,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"Pinned Mayig asserts P041 -> W112; same-number local 112 is a separate namespace.",independent_Wells_concordance_not_in_current_packet
