topic,url,binds,access_status,confidence
cisi_3_1_identity,https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31,CISI 3.1 volume identity/coverage (Mohenjo-daro & Harappa supplement),http_403_to_fetch_indexed,high
cisi_3_1_identity,https://researchportal.helsinki.fi/en/publications/corpus-of-indus-seals-and-inscriptions-volume-3-new-material-untr/,CISI 3.1 bibliographic record,reachable_metadata,high
cisi_3_1_identity,https://www.academia.edu/89021072/,CISI 3.1 record page,access_gated,medium
cisi_3_1_review,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/...B9CCB96DD82777E486D2FF40B10B0052,CISI 3.1 JRAS review (editors/series/ASI Memoir 96),reachable_abstract,high
cisi_3_1_isbn,https://www.abebooks.com/9789514110405/,CISI 3.1 ISBN 9789514110405 purchase route,reachable,high
cisi_3_3_strand,https://www.academia.edu/94861598/,CISI 3.3 (2022) contents/preface - untraced objects strand,access_gated,medium
cisi_3_3_strand,https://www.academia.edu/94880292/,Potts 2022 Tepe Yahya graffiti chapter in CISI 3.3,access_gated,medium
nair_2026,https://arxiv.org/abs/2604.17828,Nair synthetic-baseline scorecard; corpus 1916/584/11110 ICIT-Yajnadevam; intermediate result,reachable_abstract_pdf_blocked,high
tn_prize,https://archaeologymag.com/2025/01/prize-offered-to-decipher-indus-valley-script/,Tamil Nadu $1M Iravatham Mahadevan Prize Jan 2025,reachable,high
tn_prize,https://www.business-standard.com/india-news/tamil-nadu-cm-announces-1-million-for-deciphering-indus-valley-script-nc-125020400475_1.html,Stalin $1M announcement,reachable,high
tn_prize,https://www.smithsonianmag.com/smart-news/officials-are-offering-1-million-to-anyone-who-can-decode-this-ancient-script-180985922/,prize + no submission portal,reachable,high
yajnadevam_critique,https://www.academia.edu/128566898/,A short definitive flaw in Yajnadevam decipherment,access_gated,medium
yajnadevam_critique,http://kyabaat.blogspot.com/2025/03/yajnadevams-indus-valley-script.html,critique of Yajnadevam Sanskrit method,reachable,medium
yajnadevam_critique,https://www.vshiksha.com/home/cryptanalytic-revelation-yajnadevams-attempt-decipher-indus-script,overview of Yajnadevam method,reachable,medium
mukhopadhyay_2023,https://www.nature.com/articles/s41599-023-02320-7,administrative/semasiographic Indus inscriptions (Nature HSSC),reachable,high
mukhopadhyay_ssrn,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4316270,semantic scope: taxation/trade/craft licensing,reachable,high
linear_elamite,https://anetoday.org/desset-irans-linear-elamite-deciphered/,Desset 2022 Linear Elamite decipherment claim,reachable,high
linear_elamite,https://en.wikipedia.org/wiki/Linear_Elamite,decipherment + mixed reception + Born et al critique,reachable,medium_high
rao_sproat,https://languagelog.ldc.upenn.edu/nll/?p=1374,conditional entropy critique (Sproat),reachable,high
rao_sproat,https://homes.cs.washington.edu/~rao/IndusCompLing.pdf,Rao reply to Sproat,reachable,high
rao_sproat,https://safarmer.com/more.on.Rao.pdf,Farmer/Sproat on Rao et al,reachable,high
shu_ilishu,https://www.penn.museum/sites/expedition/shu-ilishus-cylinder-seal/,Louvre AO 22310 Shu-ilishu interpreter of Meluhhan language,http_403_to_fetch_indexed,high
shu_ilishu,https://commons.wikimedia.org/wiki/File:Akkadian_cylinder_seal_with_inscription_Shu-ilishu%2C_interpreter_of_the_Meluhhan_language%2C_Louvre_Museum_AO_22310.jpg,AO 22310 open image,http_403_to_fetch_allowlist_blocked,high
